Zfp516	zinc finger protein 516	MGI:MGI:2443957	C330029B10Rik|Zfp26l
Jmy	junction-mediating and regulatory protein	MGI:MGI:1913096	
Scrt1	scratch family zinc finger 1	MGI:MGI:2176606	
Prr13	proline rich 13	MGI:MGI:1913401	1110020C13Rik|2010324E22Rik
Actl6b	actin-like 6B	MGI:MGI:1933548	Actl6|ArpNa|Baf53b
Pawr	PRKC, apoptosis, WT1, regulator	MGI:MGI:2149961	2310001G03Rik|Par4|Par-4
Hamp	hepcidin antimicrobial peptide	MGI:MGI:1933533	Hepc|HEPC1
Olig3	oligodendrocyte transcription factor 3	MGI:MGI:2149955	Bhlhb7|bHLHe20
Srrt	serrate RNA effector molecule homolog (Arabidopsis)	MGI:MGI:1933527	2810019G02Rik|Ars2|Asr2
Cyp1b1	cytochrome P450, family 1, subfamily b, polypeptide 1	MGI:MGI:88590	
Cux1	cut-like homeobox 1	MGI:MGI:88568	CDP|Cutl1|Cux|Cux-1
Stox1	storkhead box 1	MGI:MGI:2684909	4732470K04Rik
Ascl3	achaete-scute family bHLH transcription factor 3	MGI:MGI:1928820	bHLHa42|ICRFP703B1614Q5.4|ICRFP703N2430Q5.4|Sgn1
Csnk2a2	casein kinase 2, alpha prime polypeptide	MGI:MGI:88547	1110035J23Rik|CK2
Zfp273	zinc finger protein 273	MGI:MGI:3036278	6820416H06Rik
Snapc3	small nuclear RNA activating complex, polypeptide 3	MGI:MGI:1916338	1810020H02Rik|4930558A07Rik|5031401C21Rik|E030018J20Rik
Rbpj	recombination signal binding protein for immunoglobulin kappa J region	MGI:MGI:96522	CBF1|Igkjrb|Igkrsbp|RBPjk|RBP-J kappa|Rbpsuh
Rfxank	regulatory factor X-associated ankyrin-containing protein	MGI:MGI:1333865	Tvl1
Gm16501	predicted gene 16501	MGI:MGI:3710623	H2al2y
Tox3	TOX high mobility group box family member 3	MGI:MGI:3039593	500-9|CAGF9|Tnrc9
1810011O10Rik	RIKEN cDNA 1810011O10 gene	MGI:MGI:1916318	
Taf9b	TATA-box binding protein associated factor 9B	MGI:MGI:3039562	Taf9l
Fzd1	frizzled class receptor 1	MGI:MGI:1196625	Fz1|FZ-1
Tcea1	transcription elongation factor A (SII) 1	MGI:MGI:1196624	S-II
Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	MGI:MGI:1345275	Bcg|host resistance locus Bcg/Ity/Lsh|ity|Ity1|Lsh|Nramp|Nramp1
Mapre3	microtubule-associated protein, RP/EB family, member 3	MGI:MGI:2140967	EB3
Rbpjl	recombination signal binding protein for immunoglobulin kappa J region-like	MGI:MGI:1196616	RBP-J kappa-like|RBP-L|Rbpsuhl
Zfp629	zinc finger protein 629	MGI:MGI:2444524	9330199A09Rik
Rnf165	ring finger protein 165	MGI:MGI:2444521	2900024M11Rik|Ark2c|G630064H08Rik|LOC225743
Taf4	TATA-box binding protein associated factor 4	MGI:MGI:2152346	Taf2c1|Taf4a|TAFII130|TAFII135
Taf4b	TATA-box binding protein associated factor 4b	MGI:MGI:2152345	105kDa|2610524B04Rik|4932409F03Rik|Taf2c2|TAFII105
Lpxn	leupaxin	MGI:MGI:2147677	4933402K05Rik|A530083L21Rik
Mbtps2	membrane-bound transcription factor peptidase, site 2	MGI:MGI:2444506	9630032G22Rik
Wwox	WW domain-containing oxidoreductase	MGI:MGI:1931237	5330426P09Rik|9030416C10Rik|WOX1
Afap1l2	actin filament associated protein 1-like 2	MGI:MGI:2147658	
Tet2	tet methylcytosine dioxygenase 2	MGI:MGI:2443298	Ayu17-449|E130014J05Rik
Tada3	transcriptional adaptor 3	MGI:MGI:1915724	1110004B19Rik|ADA3|Tada3l
Ezh1	enhancer of zeste 1 polycomb repressive complex 2 subunit	MGI:MGI:1097695	
Ogg1	8-oxoguanine DNA-glycosylase 1	MGI:MGI:1097693	Mmh
Hdac9	histone deacetylase 9	MGI:MGI:1931221	D030072B18Rik|Hdac7b|HDRP|Mitr
Tgs1	trimethylguanosine synthase 1	MGI:MGI:2151797	D4Ertd800e|Ncoa6ip|Pimt
Lin54	lin-54 homolog (C. elegans)	MGI:MGI:2140902	
Tceal7	transcription elongation factor A (SII)-like 7	MGI:MGI:1915746	1110018P05Rik
Tnip2	TNFAIP3 interacting protein 2	MGI:MGI:2386643	1810020H16Rik|ABIN-2
Ccdc85b	coiled-coil domain containing 85B	MGI:MGI:2147607	
Zfp956	zinc finger protein 956	MGI:MGI:2141515	AI894139
Sav1	salvador family WW domain containing 1	MGI:MGI:1927144	1700040G09Rik|Salv|WW45
Rwdd3	RWD domain containing 3	MGI:MGI:1920420	2510027J23Rik|3110037C01Rik|RSUME
Zfp809	zinc finger protein 809	MGI:MGI:2143362	
Nfatc4	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 4	MGI:MGI:1920431	3110041H08Rik
Morf4l2	mortality factor 4 like 2	MGI:MGI:1927167	2410017O14Rik|Sid393p
Txk	TXK tyrosine kinase	MGI:MGI:102960	A130089B16Rik|Btkl|PTK4|Rlk
Zfp281	zinc finger protein 281	MGI:MGI:3029290	
Cdk7	cyclin-dependent kinase 7	MGI:MGI:102956	Cdkn7|Crk4|CRK4 PK (CDC2-related-kinase-4 protein kinase)
Ikzf2	IKAROS family zinc finger 2	MGI:MGI:1342541	A730095J18Rik|Helios|Zfpn1a2
Zzz3	zinc finger, ZZ domain containing 3	MGI:MGI:1920453	3110065C23Rik|6430567E01Rik
Foxn1	forkhead box N1	MGI:MGI:102949	D11Bhm185e|Hfh11|whn
Ube2b	ubiquitin-conjugating enzyme E2B	MGI:MGI:102944	E2-14k|HR6B|Rad6b
Nepn	nephrocan	MGI:MGI:1913900	5730521E12Rik|Npn|periolin
Usp9x	ubiquitin specific peptidase 9, X chromosome	MGI:MGI:894681	5730589N07Rik|Dffrx|Fafl
Id3	inhibitor of DNA binding 3	MGI:MGI:96398	bHLHb25|HLH462|Idb3
Pa2g4	proliferation-associated 2G4	MGI:MGI:894684	Ebp1|Plfap
Xrn2	5'-3' exoribonuclease 2	MGI:MGI:894687	
Pou6f1	POU domain, class 6, transcription factor 1	MGI:MGI:102935	2310038G18Rik|cns-1|Emb
Scx	scleraxis	MGI:MGI:102934	bHLHa41|Scl
Spty2d1	SPT2, Suppressor of Ty, domain containing 1 (S. cerevisiae)	MGI:MGI:2142062	5830435K17Rik
Jarid2	jumonji, AT rich interactive domain 2	MGI:MGI:104813	Jmj|jumonji
Sub1	SUB1 homolog (S. cerevisiae)	MGI:MGI:104811	P15|Pc4|Rpo2tc1
Nkx1-2	NK1 transcription factor related, locus 2 (Drosophila)	MGI:MGI:104806	Nkx-1.1|Nkx-1.2|Sax1
Src	Rous sarcoma oncogene	MGI:MGI:98397	pp60c-src
Bzw1	basic leucine zipper and W2 domains 1	MGI:MGI:1914132	1200015E15Rik
Dap	death-associated protein	MGI:MGI:1918190	4921531N22Rik
Sp1	trans-acting transcription factor 1	MGI:MGI:98372	1110003E12Rik|Sp1-1
Sox9	SRY (sex determining region Y)-box 9	MGI:MGI:98371	2010306G03Rik
Sox8	SRY (sex determining region Y)-box 8	MGI:MGI:98370	
Sox7	SRY (sex determining region Y)-box 7	MGI:MGI:98369	
Sox6	SRY (sex determining region Y)-box 6	MGI:MGI:98368	
Sox5	SRY (sex determining region Y)-box 5	MGI:MGI:98367	A730017D01Rik
Sox4	SRY (sex determining region Y)-box 4	MGI:MGI:98366	Sox-4
Sox3	SRY (sex determining region Y)-box 3	MGI:MGI:98365	Sox-3
Sox2	SRY (sex determining region Y)-box 2	MGI:MGI:98364	lcc|Sox-2|ysb
Sox15	SRY (sex determining region Y)-box 15	MGI:MGI:98363	
Sox14	SRY (sex determining region Y)-box 14	MGI:MGI:98362	
Sox13	SRY (sex determining region Y)-box 13	MGI:MGI:98361	
Sox12	SRY (sex determining region Y)-box 12	MGI:MGI:98360	2010205A02Rik
Sox11	SRY (sex determining region Y)-box 11	MGI:MGI:98359	1110038H03Rik|6230403H02Rik|end1
Sox10	SRY (sex determining region Y)-box 10	MGI:MGI:98358	gt|Sox21
Sox1	SRY (sex determining region Y)-box 1	MGI:MGI:98357	Sox-1
Sod2	superoxide dismutase 2, mitochondrial	MGI:MGI:98352	manganese SOD|manganese superoxide dismutase|MnSOD|Sod-2
Aff4	AF4/FMR2 family, member 4	MGI:MGI:2136171	Alf4|Laf4l
Gm14399	predicted gene 14399	MGI:MGI:3650082	
Snai1	snail family zinc finger 1	MGI:MGI:98330	Sna|Sna1|Snail|Snail1
Gm14401	predicted gene 14401	MGI:MGI:3650075	
Dmrtc1a	DMRT-like family C1a	MGI:MGI:1918137	1700030H14Rik|4921520P21Rik|Dmrt8.1
Ski	ski sarcoma viral oncogene homolog (avian)	MGI:MGI:98310	2310012I02Rik|2610001A11Rik
Sim1	single-minded homolog 1 (Drosophila)	MGI:MGI:98306	bHLHe14
Fam208a	family with sequence similarity 208, member A	MGI:MGI:1921694	4933409E02Rik|D14Abb1e|MommeD6
Eaf1	ELL associated factor 1	MGI:MGI:1921677	4933403C17Rik
Pkn2	protein kinase N2	MGI:MGI:109211	6030436C20Rik|PRK2|Prkcl2|Stk7
Tbx19	T-box 19	MGI:MGI:1891158	D1Ertd754e|Tpit
Mtor	mechanistic target of rapamycin (serine/threonine kinase)	MGI:MGI:1928394	2610315D21Rik|FKBP-rapamycin-associated protein FRAP|flat|Frap1|RAFT1|RAPT1
Dkk1	dickkopf WNT signaling pathway inhibitor 1	MGI:MGI:1329040	mdkk-1
Brf2	BRF2, RNA polymerase III transcription initiation factor 50kDa subunit	MGI:MGI:1913903	2700059M06Rik|5730512K07Rik|BRFU|TFIIIB50
Hnrnpul1	heterogeneous nuclear ribonucleoprotein U-like 1	MGI:MGI:2443517	E130317O14Rik|E1BAP5|E1B-AP5|Hnrnpul|Hnrpul1
Barx1	BarH-like homeobox 1	MGI:MGI:103124	
Rsl2	regulator of sex limited protein 2	MGI:MGI:2664328	Rslcan-4
Mafa	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein A (avian)	MGI:MGI:2673307	RIPE3b1
Nup35	nucleoporin 35	MGI:MGI:1916732	2310006I24Rik|5330402E05Rik
Erlin1	ER lipid raft associated 1	MGI:MGI:2387613	2810439N09Rik|Keo4|Spfh1
Hrg	histidine-rich glycoprotein	MGI:MGI:2146636	D16JH2|D18020
Mterf4	mitochondrial transcription termination factor 4	MGI:MGI:1918355	1810059A23Rik|4933412H03Rik|Mterfd2
Hmg20b	high mobility group 20B	MGI:MGI:1341190	BRAF35|BRCA2-associated factor 35|Hmgx2|Hmgxb2|Smarce1r
Ntn3	netrin 3	MGI:MGI:1341188	Ntn2l
Eaf2	ELL associated factor 2	MGI:MGI:2146616	Festa|FESTA-L|FESTA-S|Traits|U19
Rbbp5	retinoblastoma binding protein 5	MGI:MGI:1918367	4933411J24Rik
Zglp1	zinc finger, GATA-like protein 1	MGI:MGI:3696042	Glp1
Ttc5	tetratricopeptide repeat domain 5	MGI:MGI:2683584	
Deaf1	deformed epidermal autoregulatory factor 1 (Drosophila)	MGI:MGI:1858496	C230009B13Rik|NUDR|suppressin
Zfp687	zinc finger protein 687	MGI:MGI:1925516	4931408L03Rik
Crtc1	CREB regulated transcription coactivator 1	MGI:MGI:2142523	Mect1|TORC1
Zfp712	zinc finger protein 712	MGI:MGI:1925501	4921504N20Rik|mszf31|mszf89
Zfp607	zinc finger proten 607	MGI:MGI:3584526	4732475C15Rik
Perm1	PPARGC1 and ESRR induced regulator, muscle 1	MGI:MGI:1921433	2310042D19Rik
Zfp775	zinc finger protein 775	MGI:MGI:2683557	C130032F08Rik
Wnt11	wingless-type MMTV integration site family, member 11	MGI:MGI:101948	
Hnrnpd	heterogeneous nuclear ribonucleoprotein D	MGI:MGI:101947	Auf1|Hnrpd
E2f1	E2F transcription factor 1	MGI:MGI:101941	E2F-1
Foxr2	forkhead box R2	MGI:MGI:3511682	EG436240|Foxn6
Tfdp1	transcription factor Dp 1	MGI:MGI:101934	Dp1|Drtf1
Dlx6	distal-less homeobox 6	MGI:MGI:101927	
Dlx5	distal-less homeobox 5	MGI:MGI:101926	
Phf5a	PHD finger protein 5A	MGI:MGI:2156864	1110007B08Rik
Rfx5	regulatory factor X, 5 (influences HLA class II expression)	MGI:MGI:1858421	
Mcrs1	microspherule protein 1	MGI:MGI:1858420	C78274|ICP22BP|MSP58|P78
F2rl1	coagulation factor II (thrombin) receptor-like 1	MGI:MGI:101910	Gpcr11|Par2|PAR-2|Protease-activated receptor-2|proteinase-activated receptor-2
Ddx20	DEAD (Asp-Glu-Ala-Asp) box polypeptide 20	MGI:MGI:1858415	dp103|GEMIN3
Recql5	RecQ protein-like 5	MGI:MGI:2156841	Recq5b|Recql5b
Tgif2	TGFB-induced factor homeobox 2	MGI:MGI:1915299	5730599O09Rik|TALE family homeobox
Cib1	calcium and integrin binding 1 (calmyrin)	MGI:MGI:1344418	Kip
Ash2l	ash2 (absent, small, or homeotic)-like (Drosophila)	MGI:MGI:1344416	
Csf3	colony stimulating factor 3 (granulocyte)	MGI:MGI:1339751	Csfg|G-CSF|MGI-IG
Ucn	urocortin	MGI:MGI:1276123	Ucn1
Zeb2	zinc finger E-box binding homeobox 2	MGI:MGI:1344407	9130203F04Rik|D130016B08Rik|SIP1|Zfhx1b|Zfx1b
Nek4	NIMA (never in mitosis gene a)-related expressed kinase 4	MGI:MGI:1344404	
Pax8	paired box 8	MGI:MGI:97492	Pax-8
Hey2	hairy/enhancer-of-split related with YRPW motif 2	MGI:MGI:1341884	bHLHb32|CHF1|Herp1|Hesr2|Hrt2
Zfp52	zinc finger protein 52	MGI:MGI:99199	KRAB11|zfec29|Zfp-52|Zfp76
Rbfox2	RNA binding protein, fox-1 homolog (C. elegans) 2	MGI:MGI:1933973	2810460A15Rik|Fbm2|Fxh|Rbm9
Top2a	topoisomerase (DNA) II alpha	MGI:MGI:98790	DNA Topoisomerase II alpha|Top-2
Zbtb7b	zinc finger and BTB domain containing 7B	MGI:MGI:102755	c-Krox|Thpok|Zfp67
Zmym2	zinc finger, MYM-type 2	MGI:MGI:1923257	FIM|MYM|RAMP|SCLL|Zfp198
Neurod1	neurogenic differentiation 1	MGI:MGI:1339708	BETA2|bHLHa3|Neurod
Rcbtb1	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1	MGI:MGI:1918580	5430409I18Rik
Vipas39	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog	MGI:MGI:2144805	SPE-39|Vipar
Tlx1	T cell leukemia, homeobox 1	MGI:MGI:98769	Hox11|Hox-11
Parp1	poly (ADP-ribose) polymerase family, member 1	MGI:MGI:1340806	5830444G22Rik|Adprp|Adprt1|PARP|parp-1|sPARP-1
Nfil3	nuclear factor, interleukin 3, regulated	MGI:MGI:109495	E4BP4
Thrb	thyroid hormone receptor beta	MGI:MGI:98743	c-erbAbeta|Nr1a2|T3R[b]|T3Rbeta|Thrb1|Thrb2|TR beta
Thra	thyroid hormone receptor alpha	MGI:MGI:98742	6430529J03Rik|c-erbAalpha|Erba|Nr1a1|Rvr|T3R[a]|T3Ralpha|Thra1|Thra2|TR alpha 1|TR alpha 2
Supt3	suppressor of Ty 3	MGI:MGI:1923723	2310066G22Rik|SPT3|SPT3L|Supt3h
Sfrp1	secreted frizzled-related protein 1	MGI:MGI:892014	2210415K03Rik|sFRP-1
Pf4	platelet factor 4	MGI:MGI:1888711	Cxcl4|Scyb4
Tgfb3	transforming growth factor, beta 3	MGI:MGI:98727	Tgfb-3
Tgfb1	transforming growth factor, beta 1	MGI:MGI:98725	Tgfb|Tgfb-1|TGFbeta1|TGF-beta1|TGF-beta 1
Abhd14b	abhydrolase domain containing 14b	MGI:MGI:1923741	1810013B01Rik
Foxo6	forkhead box O6	MGI:MGI:2676586	
Foxd3	forkhead box D3	MGI:MGI:1347473	CWH3|Genesis|Hfh2
Exosc9	exosome component 9	MGI:MGI:1355319	p5|p6|Pmscl1|PM/Scl-75|RRP45
Fzd6	frizzled class receptor 6	MGI:MGI:108474	Fz6
Gm13212	predicted gene 13212	MGI:MGI:3651014	
Foxi2	forkhead box I2	MGI:MGI:3028075	B130055A05Rik
Fzd8	frizzled class receptor 8	MGI:MGI:108460	Fz8|mFZ8
Celsr2	cadherin, EGF LAG seven-pass G-type receptor 2	MGI:MGI:1858235	Adgrc2|EGFL2|flamingo|mfmi1
Rnasel	ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent)	MGI:MGI:1098272	2-5A-dependent RNAase|E230029I04Rik
Pcna	proliferating cell nuclear antigen	MGI:MGI:97503	
Anp32a	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	MGI:MGI:108447	Anp32|pp32
Ciita	class II transactivator	MGI:MGI:108445	C2ta|Gm9475
Egfr	epidermal growth factor receptor	MGI:MGI:95294	9030024J15Rik|avian erythroblastic leukemia viral (v-erb-b) oncogene homolog|Erbb|Errb1|Wa5
Egf	epidermal growth factor	MGI:MGI:95290	
Khsrp	KH-type splicing regulatory protein	MGI:MGI:1336214	6330409F21Rik|KSRP
Edn1	endothelin 1	MGI:MGI:95283	ET-1
Tbx21	T-box 21	MGI:MGI:1888984	Tbet|T-bet|Tblym|TBT1
Ebf1	early B cell factor 1	MGI:MGI:95275	O/E-1|Olf1|Olf-1
Apbb2	amyloid beta (A4) precursor protein-binding, family B, member 2	MGI:MGI:108405	2310007D03Rik|FE65L1|Rirl1|TR2L|Zfra
Apbb3	amyloid beta (A4) precursor protein-binding, family B, member 3	MGI:MGI:108404	Fe65l2|Rirl2|TR2S
Cfc1	cripto, FRL-1, cryptic family 1	MGI:MGI:109448	b2b970Clo|cryptic
Ctcf	CCCTC-binding factor	MGI:MGI:109447	
Itga8	integrin alpha 8	MGI:MGI:109442	
Irf6	interferon regulatory factor 6	MGI:MGI:1859211	E230028I05Rik
Cav1	caveolin 1, caveolae protein	MGI:MGI:102709	Cav-1|caveolin-1
Pih1d1	PIH1 domain containing 1	MGI:MGI:1916095	1110061L23Rik|4933413A04Rik|Nop17
Foxk2	forkhead box K2	MGI:MGI:1916087	1110054H05Rik|5730434B08Rik|Ilf1
Skor2	SKI family transcriptional corepressor 2	MGI:MGI:3645984	Corl2|Fussel18|Gm7348
Mcidas	multiciliate differentiation and DNA synthesis associated cell cycle protein	MGI:MGI:3648807	Gm6320|Idas|Mci|Mcin|multicilin
Insr	insulin receptor	MGI:MGI:96575	4932439J01Rik|CD220|D630014A15Rik|IR|IR-A|IR-B
Hsf2	heat shock factor 2	MGI:MGI:96239	
Hsf1	heat shock factor 1	MGI:MGI:96238	heat shock transcription factor 1
Crx	cone-rod homeobox	MGI:MGI:1194883	Crx1
Tnfaip3	tumor necrosis factor, alpha-induced protein 3	MGI:MGI:1196377	A20|Tnfip3|zinc finger protein A20
Glis3	GLIS family zinc finger 3	MGI:MGI:2444289	4833409N03Rik|E330013K21Rik
Prickle1	prickle planar cell polarity protein 1	MGI:MGI:1916034	1110058P22Rik|b2b019Clo|mpk1
Foxk1	forkhead box K1	MGI:MGI:1347488	A630048H08Rik|Mnf
Foxm1	forkhead box M1	MGI:MGI:1347487	Fkh16|Foxm1b|HFH-11B|Mpm2|Trident|WIN
Foxc2	forkhead box C2	MGI:MGI:1347481	Fkh14|Hfhbf3|Mfh1|MFH-1
Hras	Harvey rat sarcoma virus oncogene	MGI:MGI:96224	c-H-ras|c-rasHa|Ha-ras|Harvey-ras|H-ras|Hras1|Hras-1|ras
Hr	hairless	MGI:MGI:96223	ba|bldy|N|rh|rh-bmh
Phb2	prohibitin 2	MGI:MGI:102520	Bap37|Bcap37|REA|repressor of estrogen receptor activity
Cnot4	CCR4-NOT transcription complex, subunit 4	MGI:MGI:1859026	Not4|Not4h|Not4hp
Dmrt2	doublesex and mab-3 related transcription factor 2	MGI:MGI:1330307	Terra
Dyrk1b	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b	MGI:MGI:1330302	Mirk
Ddit3	DNA-damage inducible transcript 3	MGI:MGI:109247	C/EBP homoologous protein 10|chop|CHOP10|CHOP-10|gadd153
Sema4d	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	MGI:MGI:109244	CD100|coll-4|M-sema G|Semacl2|Semaj|semaphorin H|Semcl2
Elp5	elongator acetyltransferase complex subunit 5	MGI:MGI:1859017	Clone 13u|Rai12
Galr2	galanin receptor 2	MGI:MGI:1337018	mGalR
Hhex	hematopoietically expressed homeobox	MGI:MGI:96086	Hex|Hex1|Hhex-rs2|Prhx
Nrg1	neuregulin 1	MGI:MGI:96083	6030402G23Rik|ARIA|D230005F13Rik|GGF|GGFII|heregulin|Hgl|HRG|HRGalpha|NDF|SMDF
Zfp938	zinc finger protein 938	MGI:MGI:3621440	B230315N10Rik
Loxl3	lysyl oxidase-like 3	MGI:MGI:1337004	Lor2
Dusp5	dual specificity phosphatase 5	MGI:MGI:2685183	LOC240672
Npas1	neuronal PAS domain protein 1	MGI:MGI:109205	bHLHe11|MOP5
Mael	maelstrom spermatogenic transposon silencer	MGI:MGI:2138453	4933405K18Rik
Znhit1	zinc finger, HIT domain containing 1	MGI:MGI:1917353	2700001K05Rik
Ehmt1	euchromatic histone methyltransferase 1	MGI:MGI:1924933	9230102N17Rik|KMT1D
Erlin2	ER lipid raft associated 2	MGI:MGI:2387215	Spfh2
Msx1	msh homeobox 1	MGI:MGI:97168	Hox7|Hox-7|Hox7.1|msh|muscle-segment homeobox
Msx2	msh homeobox 2	MGI:MGI:97169	Hox8|Hox-8|Hox8.1
Lef1	lymphoid enhancer binding factor 1	MGI:MGI:96770	Lef-1|lymphoid enhancer factor 1
Dpf3	D4, zinc and double PHD fingers, family 3	MGI:MGI:1917377	2810403B03Rik|cer-d4|CERD4
Hbb-y	hemoglobin Y, beta-like embryonic chain	MGI:MGI:96027	epsilon Y globin|Ey|Hby
Hbb-bh1	hemoglobin Z, beta-like embryonic chain	MGI:MGI:96024	betaH1|beta Hl globin
Hba-x	hemoglobin X, alpha-like embryonic chain in Hba complex	MGI:MGI:96019	zeta globin
Nlrc3	NLR family, CARD domain containing 3	MGI:MGI:2444070	Caterpiller 16.2|CLR16.2|D230007K08Rik
Hat1	histone aminotransferase 1	MGI:MGI:96013	2410071B14Rik|KAT1
Vwc2l	von Willebrand factor C domain-containing protein 2-like	MGI:MGI:2444069	A830006F12Rik|Brl|brorin-like
Magel2	melanoma antigen, family L, 2	MGI:MGI:1351648	Mage-l2|NDNL1|nM15|ns7
Gli3	GLI-Kruppel family member GLI3	MGI:MGI:95729	Bph|brachyphalangy
Gli1	GLI-Kruppel family member GLI1	MGI:MGI:95727	Zfp5|Zfp-5
Klf10	Kruppel-like factor 10	MGI:MGI:1101353	Egral|Gdnfif|mGIF|Tieg1
Ghrh	growth hormone releasing hormone	MGI:MGI:95709	Ghrf
Ell2	elongation factor RNA polymerase II 2	MGI:MGI:2183438	
Zfp747	zinc finger protein 747	MGI:MGI:2443581	6430604K15Rik
Npas3	neuronal PAS domain protein 3	MGI:MGI:1351610	4930423H22Rik|bHLHe12
Rsl1	regulator of sex limited protein 1	MGI:MGI:3044162	rslcan-9
Tlr2	toll-like receptor 2	MGI:MGI:1346060	Ly105
Taf3	TATA-box binding protein associated factor 3	MGI:MGI:2388097	4933439M23Rik|mTAFII140
Zkscan2	zinc finger with KRAB and SCAN domains 2	MGI:MGI:2444060	9430065N20Rik|Zfp694
Scai	suppressor of cancer cell invasion	MGI:MGI:2443716	A930041I02Rik
Mcts2	malignant T cell amplified sequence 2	MGI:MGI:1913655	2400002F11Rik
Asf1a	anti-silencing function 1A histone chaperone	MGI:MGI:1913653	2310079C17Rik
Rsf1	remodeling and spacing factor 1	MGI:MGI:2682305	4832420A03Rik|C030033M12Rik|Hbxap|p325|XAP8
Rfx7	regulatory factor X, 7	MGI:MGI:2442675	2510005N23Rik|9930116O05Rik|D130086K05Rik|Rfxdc2
Commd5	COMM domain containing 5	MGI:MGI:1913648	2310065H03Rik|D15Ertd81e|Hcarg
Epm2aip1	EPM2A (laforin) interacting protein 1	MGI:MGI:1925031	A930003G21Rik
Elp4	elongator acetyltransferase complex subunit 4	MGI:MGI:1925016	A330107A17Rik|Paxneb
Tada1	transcriptional adaptor 1	MGI:MGI:1196415	2900026B15Rik|Tada1l
Arhgef11	Rho guanine nucleotide exchange factor (GEF) 11	MGI:MGI:2441869	PDZ-RhoGEF|Prg
Uba3	ubiquitin-like modifier activating enzyme 3	MGI:MGI:1341217	A830034N06Rik|Ube1c|ubiquitin activating enzyme 3
Snw1	SNW domain containing 1	MGI:MGI:1913604	2310008B08Rik|NCoA-62|Skiip|SKIP
Trim8	tripartite motif-containing 8	MGI:MGI:1933302	GERP|Rnf27
Fnip2	folliculin interacting protein 2	MGI:MGI:2683054	D630023B12Rik
Zfp160	zinc finger protein 160	MGI:MGI:108187	6720480D16Rik
Gm14420	predicted gene 14420	MGI:MGI:3652255	
Chd2	chromodomain helicase DNA binding protein 2	MGI:MGI:2448567	2810013C04Rik|2810040A01Rik|5630401D06Rik
Adnp2	ADNP homeobox 2	MGI:MGI:2448562	8430420L05Rik|Zfp508
Caprin2	caprin family member 2	MGI:MGI:2448541	C1qdc1|Eeg1|RNG140
Tlr3	toll-like receptor 3	MGI:MGI:2156367	
Zfp345	zinc finger protein 345	MGI:MGI:3652219	OTTMUSG00000015743
Sap18	Sin3-associated polypeptide 18	MGI:MGI:1277978	C530046K05Rik|D11Ertd539e|EMegR4|Sap18a|Sinbp1
Ptrf	polymerase I and transcript release factor	MGI:MGI:1277968	2310075E07Rik|Cavin|cavin-1
Taf9	TATA-box binding protein associated factor 9	MGI:MGI:1888697	2310012M09Rik|Taf2g
Fhit	fragile histidine triad gene	MGI:MGI:1277947	Fra14A2
Raf1	v-raf-leukemia viral oncogene 1	MGI:MGI:97847	6430402F14Rik|c-Raf|Craf1|Raf-1|sarcoma 3611 oncogene|v-Raf
Ddn	dendrin	MGI:MGI:108101	LOC328602
Dvl3	dishevelled segment polarity protein 3	MGI:MGI:108100	
Rara	retinoic acid receptor, alpha	MGI:MGI:97856	RARalpha1|RAR alpha 1
Nrl	neural retina leucine zipper gene	MGI:MGI:102567	
Ccdc59	coiled-coil domain containing 59	MGI:MGI:1289302	2300004H16Rik|D10Ertd718e
Dynll1	dynein light chain LC8-type 1	MGI:MGI:1861457	8kDa LC|DLC8|Dnclc1|Pin
Actl6a	actin-like 6A	MGI:MGI:1861453	2810432C06Rik|Actl6|ARP4|Baf53a
Ankrd2	ankyrin repeat domain 2 (stretch responsive muscle)	MGI:MGI:1861447	Arpp|mArpp
Zfat	zinc finger and AT hook domain containing	MGI:MGI:2681865	LOC380993|Zfat1|Zfp406
Gcm2	glial cells missing homolog 2 (Drosophila)	MGI:MGI:1861438	Gcm1-rs2
Gsk3b	glycogen synthase kinase 3 beta	MGI:MGI:1861437	7330414F15Rik|8430431H08Rik|GSK3|GSK-3|GSK-3beta
Zbtb8b	zinc finger and BTB domain containing 8b	MGI:MGI:2387181	
Nup62	nucleoporin 62	MGI:MGI:1351500	D7Ertd649e|Nupc1|p62
Zfp692	zinc finger protein 692	MGI:MGI:2144276	Zfp692-ps
Ncoa7	nuclear receptor coactivator 7	MGI:MGI:2444847	9030406N13Rik
Cdca7l	cell division cycle associated 7 like	MGI:MGI:2384982	JPO2
Zic5	zinc finger protein of the cerebellum 5	MGI:MGI:1929518	1700049L20Rik|odd-paired related|Opr
Pias1	protein inhibitor of activated STAT 1	MGI:MGI:1913125	2900068C24Rik|Ddxbp1|GBP
Pias3	protein inhibitor of activated STAT 3	MGI:MGI:1913126	Pias3L
